cc_key,year,cc_perm_resident_count
EAST LA,2012,24499.0
EAST LA,2013,1839.0
EAST LA,2014,1855.0
EAST LA,2015,2000.0
EAST LA,2016,2182.0
EAST LA,2017,2689.0
EAST LA,2018,2532.0
EAST LA,2019,17343.0
EAST LA,2020,17147.0
EAST LA,2021,16551.0
EAST LA,2022,15396.0
EAST LA,2023,1114.0
EAST LA,2024,1007.0
EAST LA,2025,1008.0
EL CAMINO,2005,285.0
EL CAMINO,2006,509.0
EL CAMINO,2007,613.0
EL CAMINO,2008,680.0
EL CAMINO,2009,11121.0
EL CAMINO,2010,10713.0
EL CAMINO,2011,10567.0
EL CAMINO,2012,10563.0
EL CAMINO,2013,930.0
EL CAMINO,2014,956.0
EL CAMINO,2015,928.0
EL CAMINO,2016,790.0
EL CAMINO,2017,739.0
EL CAMINO,2018,734.0
EL CAMINO,2019,33486.0
EL CAMINO,2020,31909.0
EL CAMINO,2021,27268.0
EL CAMINO,2022,25553.0
EL CAMINO,2023,480.0
EL CAMINO,2024,421.0
EL CAMINO,2025,378.0
EVERGREEN VALLEY,2005,151.0
EVERGREEN VALLEY,2006,166.0
EVERGREEN VALLEY,2007,209.0
EVERGREEN VALLEY,2008,241.0
EVERGREEN VALLEY,2009,1964.0
EVERGREEN VALLEY,2010,2292.0
EVERGREEN VALLEY,2011,1865.0
EVERGREEN VALLEY,2012,1505.0
EVERGREEN VALLEY,2013,322.0
EVERGREEN VALLEY,2014,348.0
EVERGREEN VALLEY,2015,352.0
EVERGREEN VALLEY,2016,369.0
EVERGREEN VALLEY,2017,356.0
EVERGREEN VALLEY,2018,344.0
EVERGREEN VALLEY,2019,9734.0
EVERGREEN VALLEY,2020,9853.0
EVERGREEN VALLEY,2021,8837.0
EVERGREEN VALLEY,2022,8245.0
EVERGREEN VALLEY,2023,1081.0
EVERGREEN VALLEY,2024,1066.0
EVERGREEN VALLEY,2025,892.0
FEATHER RIVER,2005,3.0
FEATHER RIVER,2006,3.0
FEATHER RIVER,2007,4.0
FEATHER RIVER,2008,8.0
FEATHER RIVER,2009,75.0
FEATHER RIVER,2010,83.0
FEATHER RIVER,2011,71.0
FEATHER RIVER,2012,82.0
FEATHER RIVER,2013,8.0
FEATHER RIVER,2014,8.0
FEATHER RIVER,2015,65.0
FEATHER RIVER,2016,22.0
FEATHER RIVER,2017,28.0
FEATHER RIVER,2018,33.0
FEATHER RIVER,2019,2123.0
FEATHER RIVER,2020,1874.0
FEATHER RIVER,2021,1921.0
FEATHER RIVER,2022,1386.0
FEATHER RIVER,2023,27.0
FEATHER RIVER,2024,28.0
FEATHER RIVER,2025,44.0
FOLSOM LAKE,2005,41.0
FOLSOM LAKE,2006,41.0
FOLSOM LAKE,2007,55.0
FOLSOM LAKE,2008,73.0
FOLSOM LAKE,2009,339.0
FOLSOM LAKE,2010,320.0
FOLSOM LAKE,2011,483.0
FOLSOM LAKE,2012,95.0
FOLSOM LAKE,2013,82.0
FOLSOM LAKE,2014,85.0
FOLSOM LAKE,2015,101.0
FOLSOM LAKE,2016,114.0
FOLSOM LAKE,2017,120.0
FOLSOM LAKE,2018,112.0
FOLSOM LAKE,2019,8734.0
FOLSOM LAKE,2020,9107.0
FOLSOM LAKE,2021,9744.0
FOLSOM LAKE,2022,9143.0
FOLSOM LAKE,2023,567.0
FOLSOM LAKE,2024,592.0
FOLSOM LAKE,2025,627.0
FOOTHILL,2005,422.0
FOOTHILL,2006,374.0
FOOTHILL,2007,360.0
FOOTHILL,2008,316.0
FOOTHILL,2009,9.0
FOOTHILL,2010,10.0
FOOTHILL,2011,7.0
FOOTHILL,2012,1.0
FOOTHILL,2013,96.0
FOOTHILL,2014,229.0
FOOTHILL,2015,218.0
FOOTHILL,2016,316.0
FOOTHILL,2017,335.0
FOOTHILL,2018,447.0
FOOTHILL,2019,17024.0
FOOTHILL,2020,16768.0
FOOTHILL,2021,16259.0
FOOTHILL,2022,13918.0
FOOTHILL,2023,991.0
FOOTHILL,2024,892.0
FOOTHILL,2025,925.0
FRESNO CITY,2005,16.0
FRESNO CITY,2006,9.0
FRESNO CITY,2007,11.0
FRESNO CITY,2008,6.0
FRESNO CITY,2009,702.0
FRESNO CITY,2010,699.0
FRESNO CITY,2011,708.0
FRESNO CITY,2012,669.0
FRESNO CITY,2013,2.0
FRESNO CITY,2014,5.0
FRESNO CITY,2015,15.0
FRESNO CITY,2016,22.0
FRESNO CITY,2017,35.0
FRESNO CITY,2018,34.0
FRESNO CITY,2019,25064.0
FRESNO CITY,2020,25507.0
FRESNO CITY,2021,22754.0
FRESNO CITY,2022,20993.0
FRESNO CITY,2023,90.0
FRESNO CITY,2024,106.0
FRESNO CITY,2025,86.0
FULLERTON,2005,604.0
FULLERTON,2006,553.0
FULLERTON,2007,570.0
FULLERTON,2008,649.0
FULLERTON,2009,9486.0
FULLERTON,2010,9728.0
FULLERTON,2011,9347.0
FULLERTON,2012,8756.0
FULLERTON,2013,20073.0
FULLERTON,2014,24644.0
FULLERTON,2015,25424.0
FULLERTON,2016,25203.0
FULLERTON,2017,24907.0
FULLERTON,2018,24544.0
FULLERTON,2019,23031.0
FULLERTON,2020,23015.0
FULLERTON,2021,21785.0
FULLERTON,2022,18742.0
FULLERTON,2023,687.0
FULLERTON,2024,611.0
FULLERTON,2025,572.0
GAVILAN,2005,25.0
GAVILAN,2006,25.0
GAVILAN,2007,29.0
GAVILAN,2008,25.0
GAVILAN,2009,23612.0
GAVILAN,2010,24203.0
GAVILAN,2011,22639.0
GAVILAN,2012,21907.0
GAVILAN,2013,7657.0
GAVILAN,2014,6706.0
GAVILAN,2015,6435.0
GAVILAN,2016,7066.0
GAVILAN,2017,6977.0
GAVILAN,2018,7149.0
GAVILAN,2019,6929.0
GAVILAN,2020,6800.0
GAVILAN,2021,5198.0
GAVILAN,2022,5495.0
GAVILAN,2023,230.0
GAVILAN,2024,260.0
GAVILAN,2025,263.0
GLENDALE,2005,2807.0
GLENDALE,2006,2788.0
GLENDALE,2007,2712.0
GLENDALE,2008,2238.0
GLENDALE,2009,13633.0
GLENDALE,2010,14078.0
GLENDALE,2011,14053.0
GLENDALE,2012,13690.0
GLENDALE,2013,21039.0
GLENDALE,2014,20932.0
GLENDALE,2015,20017.0
GLENDALE,2016,20241.0
GLENDALE,2017,20053.0
GLENDALE,2018,19357.0
GLENDALE,2019,18186.0
GLENDALE,2020,17569.0
GLENDALE,2021,15265.0
GLENDALE,2022,14066.0
GLENDALE,2023,2263.0
GLENDALE,2024,2275.0
GLENDALE,2025,2586.0
GOLDEN WEST,2005,14156.0
GOLDEN WEST,2006,14057.0
GOLDEN WEST,2007,13319.0
GOLDEN WEST,2008,14010.0
GOLDEN WEST,2009,11104.0
GOLDEN WEST,2010,10109.0
GOLDEN WEST,2011,10140.0
GOLDEN WEST,2012,9579.0
GOLDEN WEST,2013,12455.0
GOLDEN WEST,2014,12743.0
GOLDEN WEST,2015,12482.0
GOLDEN WEST,2016,12148.0
GOLDEN WEST,2017,11962.0
GOLDEN WEST,2018,11796.0
GOLDEN WEST,2019,11964.0
GOLDEN WEST,2020,13047.0
GOLDEN WEST,2021,11908.0
GOLDEN WEST,2022,10692.0
GOLDEN WEST,2023,527.0
GOLDEN WEST,2024,534.0
GOLDEN WEST,2025,567.0
GROSSMONT,2005,17626.0
GROSSMONT,2006,16762.0
GROSSMONT,2007,16879.0
GROSSMONT,2008,17772.0
GROSSMONT,2009,16429.0
GROSSMONT,2010,18293.0
GROSSMONT,2011,17183.0
GROSSMONT,2012,16794.0
GROSSMONT,2013,17931.0
