cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
LANEY,San Diego,506.16,7.95
LANEY,University of California-San Francisco,15.55,0.47
LANEY,Santa Barbara,321.5,5.13
LANEY,Santa Cruz,72.77,1.36
LAS POSITAS,Berkeley,34.34,0.73
LAS POSITAS,Davis,80.67,1.32
LAS POSITAS,Irvine,386.44,6.25
LAS POSITAS,Los Angeles,345.5,5.63
LAS POSITAS,Merced,95.41,1.93
LAS POSITAS,Riverside,396.14,6.47
LAS POSITAS,San Diego,478.22,7.67
LAS POSITAS,University of California-San Francisco,45.27,0.94
LAS POSITAS,Santa Barbara,312.78,5.02
LAS POSITAS,Santa Cruz,64.89,1.3
LASSEN,Berkeley,265.41,4.89
LASSEN,Davis,201.16,3.78
LASSEN,Irvine,600.2,9.84
LASSEN,Los Angeles,559.26,9.24
LASSEN,Merced,334.12,5.6
LASSEN,Riverside,555.47,9.43
LASSEN,San Diego,669.91,10.85
LASSEN,University of California-San Francisco,276.01,5.01
LASSEN,Santa Barbara,580.33,9.72
LASSEN,Santa Cruz,354.7,6.06
WEST HILLS LEMOORE,Berkeley,201.84,3.29
WEST HILLS LEMOORE,Davis,224.69,3.59
WEST HILLS LEMOORE,Irvine,243.33,3.85
WEST HILLS LEMOORE,Los Angeles,202.39,3.23
WEST HILLS LEMOORE,Merced,91.18,1.56
WEST HILLS LEMOORE,Riverside,253.03,4.05
WEST HILLS LEMOORE,San Diego,335.11,5.24
WEST HILLS LEMOORE,University of California-San Francisco,212.78,3.45
WEST HILLS LEMOORE,Santa Barbara,205.8,3.42
WEST HILLS LEMOORE,Santa Cruz,177.38,3.07
LONG BEACH CITY,Berkeley,398.51,6.44
LONG BEACH CITY,Davis,421.35,6.74
LONG BEACH CITY,Irvine,25.01,0.52
LONG BEACH CITY,Los Angeles,20.88,0.51
LONG BEACH CITY,Merced,302.56,4.92
LONG BEACH CITY,Riverside,61.7,1.32
LONG BEACH CITY,San Diego,94.72,1.49
LONG BEACH CITY,University of California-San Francisco,409.44,6.6
LONG BEACH CITY,Santa Barbara,127.05,2.14
LONG BEACH CITY,Santa Cruz,369.2,6.15
LOS ANGELES CITY,Berkeley,369.97,5.99
LOS ANGELES CITY,Davis,392.81,6.29
LOS ANGELES CITY,Irvine,49.77,1.01
LOS ANGELES CITY,Los Angeles,8.88,0.33
LOS ANGELES CITY,Merced,274.02,4.47
LOS ANGELES CITY,Riverside,61.81,1.35
LOS ANGELES CITY,San Diego,112.33,2.0
