field,major,enrolls,year,cc_name,uc_campus
SOCIAL SCIENCES,International Relations and National Security Studies,3,2017,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,3,2017,AMERICAN RIVER,Berkeley
SOCIAL SCIENCES,Political Science and Government,6,2017,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Sociology,6,2017,AMERICAN RIVER,Davis
AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,5,2018,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",11,2018,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",12,2018,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,12,2018,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",7,2018,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2018,AMERICAN RIVER,Berkeley
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,9,2018,AMERICAN RIVER,Davis
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2018,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2018,AMERICAN RIVER,Davis
ENGINEERING,Civil Engineering,4,2018,AMERICAN RIVER,Davis
ENGINEERING,Computer Engineering,3,2018,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2018,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",6,2018,AMERICAN RIVER,Davis
HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,2018,AMERICAN RIVER,Davis
MATHEMATICS AND STATISTICS,Mathematics,5,2018,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,5,2018,AMERICAN RIVER,Davis
PSYCHOLOGY,"Psychology, General",3,2018,AMERICAN RIVER,Irvine
PSYCHOLOGY,Research and Experimental Psychology,8,2018,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Anthropology,7,2018,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,7,2018,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,8,2018,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Sociology,3,2018,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,2019,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2019,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,2019,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",4,2019,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,5,2019,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2019,AMERICAN RIVER,Davis
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,2019,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,2019,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,2019,AMERICAN RIVER,Santa Cruz
ENGINEERING,Computer Engineering,3,2019,AMERICAN RIVER,Davis
ENGINEERING,"Engineering, General",3,2019,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,2019,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",5,2019,AMERICAN RIVER,Davis
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2019,AMERICAN RIVER,Davis
HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,2019,AMERICAN RIVER,Davis
HISTORY,History,4,2019,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2019,AMERICAN RIVER,San Diego
PSYCHOLOGY,Research and Experimental Psychology,12,2019,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Anthropology,3,2019,AMERICAN RIVER,Berkeley
SOCIAL SCIENCES,Anthropology,3,2019,AMERICAN RIVER,Los Angeles
SOCIAL SCIENCES,Economics,3,2019,AMERICAN RIVER,Davis
SOCIAL SCIENCES,International Relations and National Security Studies,4,2019,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,4,2019,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,3,2019,AMERICAN RIVER,Santa Cruz
SOCIAL SCIENCES,Sociology,5,2019,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",11,2020,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2020,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Microbiological Sciences and Immunology,3,2020,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,3,2020,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",3,2020,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2020,AMERICAN RIVER,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Management Sciences and Quantitative Methods,6,2020,AMERICAN RIVER,Davis
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2020,AMERICAN RIVER,Santa Barbara
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,2020,AMERICAN RIVER,Davis
ENGINEERING,Biomedical/Medical Engineering,3,2020,AMERICAN RIVER,Davis
ENGINEERING,Computer Engineering,4,2020,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2020,AMERICAN RIVER,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2020,AMERICAN RIVER,Davis
HISTORY,History,3,2020,AMERICAN RIVER,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,4,2020,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Physics,5,2020,AMERICAN RIVER,Davis
PSYCHOLOGY,Research and Experimental Psychology,5,2020,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,6,2020,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,4,2020,AMERICAN RIVER,Santa Barbara
SOCIAL SCIENCES,International Relations and National Security Studies,4,2020,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,4,2020,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Political Science and Government,3,2020,AMERICAN RIVER,Los Angeles
SOCIAL SCIENCES,Sociology,8,2020,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",15,2021,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2021,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Biotechnology,4,2021,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,7,2021,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",7,2021,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2021,AMERICAN RIVER,Berkeley
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Management Sciences and Quantitative Methods,6,2021,AMERICAN RIVER,Davis
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2021,AMERICAN RIVER,Davis
