cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
College of the Desert,University of California-Santa Cruz,33.732108,-116.388271,36.995584,-122.058801,744499,27295,OK
College of the Redwoods,University of California-Berkeley,40.698427,-124.195293,37.871918,-122.260463,426227,16810,OK
College of the Redwoods,University of California-Davis,40.698427,-124.195293,38.539667,-121.749567,443566,17880,OK
College of the Redwoods,University of California-Irvine,40.698427,-124.195293,33.648434,-117.841248,1096024,40473,OK
College of the Redwoods,University of California-Los Angeles,40.698427,-124.195293,34.066927,-118.168965,1030133,37084,OK
College of the Redwoods,University of California-Merced,40.698427,-124.195293,37.366237,-120.424944,627653,23554,OK
College of the Redwoods,University of California-Riverside,40.698427,-124.195293,33.97246,-117.32741,1111631,40008,OK
College of the Redwoods,University of California-San Diego,40.698427,-124.195293,32.877749,-117.235866,1208221,44761,OK
College of the Redwoods,University of California-San Francisco,40.698427,-124.195293,37.763737,-122.458489,422997,16581,OK
College of the Redwoods,University of California-Santa Barbara,40.698427,-124.195293,34.416297,-119.846426,948009,34473,OK
College of the Redwoods,University of California-Santa Cruz,40.698427,-124.195293,36.995584,-122.058801,547708,20956,OK
College of the Sequoias,University of California-Berkeley,36.323877,-119.315182,37.871918,-122.260463,367818,13233,OK
College of the Sequoias,University of California-Davis,36.323877,-119.315182,38.539667,-121.749567,404582,14322,OK
College of the Sequoias,University of California-Irvine,36.323877,-119.315182,33.648434,-117.841248,366172,13420,OK
College of the Sequoias,University of California-Los Angeles,36.323877,-119.315182,34.066927,-118.168965,300281,11167,OK
College of the Sequoias,University of California-Merced,36.323877,-119.315182,37.366237,-120.424944,162652,5902,OK
College of the Sequoias,University of California-Riverside,36.323877,-119.315182,33.97246,-117.32741,381778,14184,OK
College of the Sequoias,University of California-San Diego,36.323877,-119.315182,32.877749,-117.235866,513875,18410,OK
College of the Sequoias,University of California-San Francisco,36.323877,-119.315182,37.763737,-122.458489,385410,13824,OK
College of the Sequoias,University of California-Santa Barbara,36.323877,-119.315182,34.416297,-119.846426,366841,13677,OK
College of the Sequoias,University of California-Santa Cruz,36.323877,-119.315182,36.995584,-122.058801,328444,12458,OK
College of the Siskiyous,University of California-Berkeley,41.413005,-122.38909,37.871918,-122.260463,444394,16254,OK
College of the Siskiyous,University of California-Davis,41.413005,-122.38909,38.539667,-121.749567,359547,13012,OK
College of the Siskiyous,University of California-Irvine,41.413005,-122.38909,33.648434,-117.841248,1056631,37106,OK
College of the Siskiyous,University of California-Los Angeles,41.413005,-122.38909,34.066927,-118.168965,990740,34837,OK
College of the Siskiyous,University of California-Merced,41.413005,-122.38909,37.366237,-120.424944,559203,20298,OK
College of the Siskiyous,University of California-Riverside,41.413005,-122.38909,33.97246,-117.32741,1072237,37780,OK
